ROOT,RESERVE,PRIMARY 1,PRIMARY 2,PRIMARY 3,PRIMARY 4,RESERVE 1,RESERVE 2,RESERVE 3,RESERVE 4
כלי,1,כְּלֵי,כְּלֵי ²,,,,,,
כלל,1,כְּלַל,,,,,,,
כלם,1,כְּלַם,,,,,,,
כמן,1,כְּמַן,,,,,,,
כמר,1,כְּמַר,,,,,,,
כמשׁ,1,כְּמַשׁ,,,,,,,
כני,1,כני ²,,,,,,,
כנס,1,כְּנַס,,,,,,,
כנע,1,כְּנַע,,,,,,,
כנף,1,כְּנַף I,,,,,,,
כנשׁ,1,כְּנַשׁ,,,,,,,
כסח,1,כְּסַח,,,,,,,
כסי,1,כְּסֵי ²,כְּסֵי,,,,,,
כסס,1,כְּסַס,,,,,,,
כסף,1,כְּסַף I,,,,,,,
כפי,1,כְּפִי,,,,,,,
כפל,1,כְּפַל,,,,,,,
כפן,1,כְּפַן I,,,,,,,
כפף,1,כְּפַף,,,,,,,
כפר,1,כְּפַר,,,,,,,
כפת,1,כְּפַת,,,,,,,
כרב,1,*כְּרַב I,כְּרַב II,,,,,,
כרז,1,כְּרַז,,,,,,,
כרי,1,כְּרֵי,,,,,,,
כרך,1,כְּרַךְ I,,,,,,,
כרס,1,*כרס,,,,,,,
כרע,1,כְּרַע,,,,,,,
כרת,1,כְּרַת,,,,,,,
כשׁט,1,*כְּשַּׁט,,,,,,,
כשׁל,1,כְּשַׁל,,,,,,,
כשׁר,1,כְּשַׁר,,,,,,,
כתב,1,כְּתַב I,,,,,,,
כתף,1,כְּתַף,,,,,,,
כתשׁ,1,כְּתַשׁ,,,,,,,
כתת,1,כְּתַת,,,,,,,
לבי,1,לְבֵי,,,,,,,
לבן,1,לְבַן,,,,,,,
לבשׁ,1,לְבֵשׁ,,,,,,,
לגס,1,*לגס,,,,,,,
לוג,1,,,,,,,,
לוט,1,לוּט ²,,,,,,,
לוי,1,לְוִי,,,,,,,
לושׁ,1,לוּשׁ ²,,,,,,,
לחך,1,לְחַךְ,,,,,,,
לחשׁ,1,לְחַשׁ,,,,,,,
לטי,1,לְטִי,,,,,,,
לכך,1,לְכַךְ,,,,,,,
לפף,1,לְפַף,,,,,,,
לפת,1,לָפַת,,,,,,,
לצן,0,לוּץ,,,,,,,
לקח,1,*לְקַח,,,,,,,
לקט,1,לְקַט,,,,,,,
לקי,1,לְקִי,,,,,,,
לשׁן,1,לְשַׁן,,,,,,,
לתת,1,לְתַת,,,,,,,
מאס,1,מְאַס,,,,,,,
מגר,1,מְגַר,,,,,,,
מהל,1,מְהַל I,מְהַל II,,,,,,
מוח,1,מְחִי,,,,,,,
מור,1,מוּר I,,,,,,,
מושׁ,1,מוּשׁ ²,,,,,,,
מות,1,מוּת,,,,,,,
מזג,1,מְזַג,,,,,,,
מחח,1,מְחִי,,,,,,,
מחי,1,מְחִי,מְחִי ²,מָחִי,,,,,
מחל,1,מְחַל,,,,,,,
מחק,1,מְחַק,,,,,,,
מטי,1,מְטֵי,,,,,,,
מכך,1,מְכַךְ,,,,,,,
מלח,1,מְלַח I,מְלַח II,,,,,,
מלי,1,מְלֵי,מַלֵּי,,,,,,
מלך,1,מְלַךְ,,,,,,,
מלל,1,מְלַל I,מְלַל II,,,,,,
מני,1,מְנֵי,,,,,,,
מנע,1,מְנַע,,,,,,,
מסי,1,מַסֵּי,מְסֵי,,,,,,
מסס,1,מְסַס,,,,,,,
מסר,1,מְסַר,מְסַר II,,,,,,
מעט,1,מְעַט I,,,,,,,
מעל,1,מְעַל,,,,,,,
מצי,1,מְצִי I,מְצִי II,,,,,,
מצע,1,מְצַע,,,,,,,
מצץ,1,מְצַּץ,,,,,,,
מצר,1,מְצַר,מְצַר ²,,,,,,
מרד,1,מְרַד,,,,,,,
מרח,1,מְרַח I,מְרַח II,,,,,,
מרט,1,מְרַט I,,,,,,,
מרי,1,מְרֵי,,,,,,,
מרס,1,מְרַס,,,,,,,
מרע,1,מְרַע I,,,,,,,
מרק,1,מְרַק,,,,,,,
מרר,1,מְרַר,,,,,,,
משׁח,1,מְשַׁח,מְשַׁח ²,,,,,,
משׁי,1,מְשֵׁי,,,,,,,
משׁך,1,מְשַׁךְ I,,,,,,,
משׁשׁ,1,מְשַׁשׁ I,,,,,,,
מתח,1,מְתַח,,,,,,,
מתל,1,מְתַל I,,,,,,,
מתן,1,מְתַן,,,,,,,
מתק,1,מְתַק,,,,,,,
נאר,1,,,,,,,,
נבג,1,נְבַג,,,,,,,
נבח,1,נְבַח,,,,,,,
נבט,1,נְבַט,,,,,,,
נבי,1,נְבֵי,,,,,,,
נבל,1,נְבֵל,,,,,,,
נבע,1,נְבַע,,,,,,,
נגב,1,נְגֵב,,,,,,,
נגד,1,נְגַד,,,,,,,
נגח,1,נְגַח,,,,,,,
נגע,1,נְגַע,,,,,,,
נדב,1,נְדַב,,,,,,,
נדי,1,נְדֵי II,,,,,,,
נדר,1,נְדַר I,נְדַר II,,,,,,
נהג,1,נְהַג,,,,,,,
נהל,1,נְהַל,,,,,,,
נהם,1,נְהַם,,,,,,,
נהר,1,נְהַר I,,,,,,,
נוד,1,נוּד ²,,,,,,,
נוח,1,נוּחַ ²,,,,,,,
נול,1,נְוַול,נְוַול ²,,,,,,
נום,1,נוּם I,,,,,,,
נוס,1,נוּס ²,,,,,,,
נוף,1,נוּף ²,,,,,,,
נזח,0,נָזַח,,,,,,,
נזף,1,נְזַף,,,,,,,
נזק,1,נְזַק,,,,,,,
נזר,1,נְזַר,,,,,,,
נחם,1,נְחַם,,,,,,,
נחר,1,נְחַר,,,,,,,
נחשׁ,1,נְחַשׁ II,,,,,,,
נחת,1,נְחַת,,,,,,,
נטי,1,נְטֵי,,,,,,,
נטל,1,נְטַל,,,,,,,
נטע,0,נָטַע,,,,,,,
נטף,1,נְטַף,,,,,,,
נטר,1,נְטַר,,,,,,,
ניר,1,נִיר,,,,,,,
נכי,1,נְכֵי,,,,,,,
נכל,1,נְכֵל,,,,,,,
נכס,1,נְכַס,,,,,,,
נכר,1,נְכַר,,,,,,,
נכש,1,נְכַשׁ,,,,,,,
נכת,1,נְכַת,,,,,,,
נסב,1,נְסַב,,,,,,,
נסח,1,נְסַח,,,,,,,
נסי,1,נְסֵי,,,,,,,
נסך,1,נְסַךְ,,,,,,,
נסס,1,נְסַס,,,,,,,
נסר,1,נְסַר,,,,,,,
נעל,1,נְעַל,,,,,,,
נער,1,נְעַר,,,,,,,
נפח,1,נְפַח,,,,,,,
נפי,1,נְפֵי,,,,,,,
נפל,1,נְפַל,,,,,,,
נפס,1,,,,,,,,
נפף,1,נְפַף,,,,,,,
נפץ,1,נְפַץ,,,,,,,
נפק,1,נְפַק,,,,,,,
