62nl 1ds 210gp 10sm	ולא٠ והא איכא "דם"٠ דמעיקרא לית ביה "מעיל׳"٠
72nl 1ds 210gp 10sm	ולבסוף אית ביה "מעיל׳"٠
60nl 2ds 210gp 10sm	כי קאמרינן לגבי "דם" דלא מתקיימא בלא "דם٠ אבל"
70nl 2ds 210gp 10sm	"חלב" דקא מקיימא בלא "חלב" לא٠
90nl 2ds 210gp 10sm	אמאי٠ הכא נמי
01nl 2ds 210gp 10sm	לא מקיים דלא "פרש"٠ אמרי٠ מאי איריא הדין
11nl 2ds 210gp 10sm	"פרש" דמן עלמ׳ קאתי לה٠ אזיל הא אתיא
21nl 2ds 210gp 10sm	אחרינ׳٠ לאפוקי "דם" דמיגופיה הוא٠
91nl 2ds 210gp 10sm	אלא גבי
02nl 2ds 210gp 10sm	"מזבח" כי אקדשה "קדוש׳ דמים" לא אית בה
12nl 2ds 210gp 10sm	"מעילה"٠ חסורי מיחסרא והכי קתני٠
52nl 1ds 310gp 10sm	"אבקה" מעלי לה٠
21nl 2ds 310gp 10sm	אי איתמר אסיפא איתמ׳٠
40nl 1ds 410gp 10sm	מימר א׳٠ היא גופה לא
50nl 1ds 410gp 10sm	מצלה٠ לדידי מצל׳ לי٠
80nl 1ds 410gp 10sm	מאי לאו דאיתבר מגופה٠
90nl 1ds 410gp 10sm	דאיתי מעלמ׳٠
21nl 1ds 410gp 10sm	הכי נמי מסתבר׳٠ דאי סל׳ דע׳ דאייתי מעלמ׳٠
31nl 1ds 410gp 10sm	אמאי "יתיז"٠ לישקליה מישקל٠
41nl 1ds 410gp 10sm	דאתי מעלמ׳٠
51nl 1ds 410gp 10sm	ומאי "יתיז" ٠٠٠ אסברא לך٠
12nl 1ds 410gp 10sm	מאי טע׳٠ דמאן
22nl 1ds 410gp 10sm	דמתנדב "מעות" מקדש להו٠ וא׳٠ תיחול
32nl 1ds 410gp 10sm	"קדוש׳ מעות אבינין"٠ ויהיב להון "לאומנין בשכרן"٠
50nl 2ds 410gp 10sm	ליחלה "אבינין" דלא איכא "ביני^ן^"٠ והא "מעות"
60nl 2ds 410gp 10sm	"האומנין" קתני٠
80nl 2ds 410gp 10sm	הני מילי דאיעבד "לכתחיל׳"٠
90nl 2ds 410gp 10sm	לא
11nl 2ds 410gp 10sm	דיל׳ בעי למיזגא וזגא עליהון٠ אי בנא בקודשא
21nl 2ds 410gp 10sm	אישתכח דקא מעיל "בקדש׳"٠
41nl 2ds 410gp 10sm	ואמאי "מועלי׳ בהן"٠
51nl 2ds 410gp 10sm	הכא נמי ליעביד "בחול"٠ אמרין דדיל׳ בעי
61nl 2ds 410gp 10sm	למזגא٠ וזגא עליהון٠ ואישתכח דקמעיל "בקדש׳"٠
81nl 2ds 410gp 10sm	כי תנן במתניתי׳ "בעצים" דיומיה٠
11nl 1ds 510gp 10sm	"דקדשי בד׳ הבית" לא איכא הכי٠ משום הכי
21nl 1ds 510gp 10sm	קפליג ליה ٠٠٠ מחוורתא٠
42nl 1ds 510gp 10sm	והא קרא קנסיב לה٠ אסמכתא٠
63nl 2ds 510gp 10sm	אינך לא צריכא٠
11nl 1ds 610gp 10sm	מאי איריא רהיט ותני٠ "מיתת פרה וחיי"
21nl 1ds 610gp 10sm	"גמל" הא אפילו "מיתת שניהם" לא מצטרפי٠
90nl 2ds 610gp 10sm	וקלסיה ר׳ יוחנ׳٠
21nl 2ds 610gp 10sm	לאו דאיכא
31nl 2ds 610gp 10sm	פורתא מהאי ופורתא מהאי٠ {{֗ו֗}}א׳ל רב
41nl 2ds 610gp 10sm	יוסף٠ ההוא דווקא דילך הוא٠ רב שמעתא
51nl 2ds 610gp 10sm	בעלמא ٠٠٠ {{֗ד֗}}^ו^קלסיה ר׳ יוחנ׳٠
10nl 1ds 710gp 10sm	א׳ל٠ כי מיקיש להי רחמ׳ "לבל תשקצו"٠
70nl 2ds 710gp 10sm	אנא דיל׳ עניש ליה ר׳ שמע׳ קא מסתפינא٠
81nl 2ds 710gp 10sm	קדים הוא על בברתיה
91nl 2ds 710gp 10sm	דקיסר٠ כי מטא התם אמרו٠
02nl 2ds 710gp 10sm	כיון דקרו ליה נפק٠ אזל א׳
12nl 2ds 710gp 10sm	להון٠ שאול כל מה דאית לכון٠
22nl 2ds 710gp 10sm	ועול לבי גזא٠ שקול כל מה דאית לכון٠ עו֗ל֗ אשכח
32nl 2ds 710gp 10sm	ההיא איגרתה٠ שקלוה וקרעוה٠
93nl 2ds 710gp 10sm	ומי קא עביד "שיני ראשון" והא לא איפשר٠
04nl 2ds 710gp 10sm	לגבי "שלישי" בני חדא ביקתא אינון٠
30nl 1ds 810gp 10sm	ומי צריך ר׳ שמע׳ לצרופי٠
70nl 1ds 810gp 10sm	במתניתא תנא٠
32nl 1ds 810gp 10sm	במאי קמיפלגי٠ א׳ רבא٠ בלבושה מיצעאה
42nl 1ds 810gp 10sm	ומלמלי٠
90nl 1ds 910gp 10sm	והאי לאו
01nl 1ds 910gp 10sm	"זר" הוא٠ דהא אימשח בגויה٠ קמ׳ל٠ אקשה
11nl 1ds 910gp 10sm	רחמ׳ "לשוטה ולע׳ז ולתרומה"
21nl 1ds 910gp 10sm	"לשוטה"٠ דאע׳ג דלא פגם٠ גבי "הקדש" נמי כי
31nl 1ds 910gp 10sm	"נתנה טבעת בידיה" "מעלה٠ כי אקשה רחמ׳
41nl 1ds 910gp 10sm	"לע׳ז"٠ עד דאית בה "שינוי"٠ גבי
51nl 1ds 910gp 10sm	"הקדש" נמי עד "דביקע בקרדום"٠
61nl 1ds 910gp 10sm	אקשה רחמ׳ "לתרומ׳"٠
71nl 1ds 910gp 10sm	גבי "הקדש" נמי "כל דבר אכילה"
81nl 1ds 910gp 10sm	כי מזיק ליה "פטור"٠
91nl 1ds 910gp 10sm	ודהבא לאו בר
02nl 1ds 910gp 10sm	איפגומי הוא٠ דהבא דכלתיה דנאן להיכן
12nl 1ds 910gp 10sm	אזל٠ א׳ל٠ דיל׳ האי להיכא דרמיין כלתך٠
22nl 1ds 910gp 10sm	עוד٠ נהי דלא איכא "נהנה ופגם" לאלתר٠
32nl 1ds 910gp 10sm	"לעולם" מי לא איכא "פגימא"٠
41nl 1ds 020gp 10sm	וכיון דבני לה מיחת מעל٠
12nl 1ds 020gp 10sm	מאי איריא רהוט ותני٠ והדר תני٠
42nl 1ds 020gp 10sm	אמרי٠ הא פסיקא ליה٠ והא לא פסיקא ליה٠
10nl 2ds 020gp 10sm	מאן תנא דכל מילתא מימלך עלה
20nl 2ds 020gp 10sm	שליחא٠ תרתין מילי הוויין٠
50nl 2ds 020gp 10sm	מי לא בעי אימלוכי٠
31nl 2ds 020gp 10sm	"קריבין" לאו בשר "ואוכליהון" לא בר אינש٠
41nl 2ds 020gp 10sm	ולתנא קמא מאי שנא "בבשר עופות"٠ משום דרג֗י״ו״֗ל איניש
51nl 2ds 020gp 10sm	דא׳ להו٠ לא אשכחי בשרא דחיותא٠ איזיל ואייתי
61nl 2ds 020gp 10sm	"עופות"٠ אי הכי "דגים" נמי٠
71nl 2ds 020gp 10sm	לא אשכחי בשרא דחיותא٠ איזיל ואייתי
81nl 2ds 020gp 10sm	"דגים"٠ א׳ רב פפא٠ "ביום הקזא" עסיקי׳٠ ד{{֗ד֗}}^ל^א
91nl 2ds 020gp 10sm	אכיל איניש "דגים"٠ אי הכי ציפרא נמי לא
02nl 2ds 020gp 10sm	ניכול٠ דא׳ שמו׳٠ דמסו֗ב֗ר ואכל ציפרא٠
12nl 2ds 020gp 10sm	פרח ליביה כי ציפרא٠
42nl 2ds 020gp 10sm	ביומא דכייבין עליה עינא עסיקינ׳٠ דלא אכיל "דגים"٠ אי הכי אכיל "דגים"٠ דא׳ שמוא׳٠ נונ֗א֗ סמך עין٠ נונא סמא לעינא٠ ההוא בסוף אוכלא٠
10nl 1ds 120gp 10sm	מהו דתימ׳٠ עקר "שליח שליחותו דבעל הבית"
20nl 1ds 120gp 10sm	ולא לימעול٠ קמ׳ל٠
22nl 1ds 120gp 10sm	אלמא קעבדא לשליחותיה٠ הכא נמי
32nl 1ds 120gp 10sm	איתעביד שליחותיה٠
42nl 1ds 120gp 10sm	ואע׳ג דלא אידכר "שליח"٠
40nl 2ds 120gp 10sm	שמעת מינ׳٠ מאן דא׳
50nl 2ds 120gp 10sm	לשלוחיה٠ זיל וזב{י}<ו>ן לי כורא דארעא٠ ואזל וזבן
60nl 2ds 120gp 10sm	ליה ליתכא٠ קני "לוקח"٠ אמרי٠ היכי דמי٠
70nl 2ds 120gp 10sm	כגון דאייתי ליה "שוי שש בשלש"٠
01nl 2ds 120gp 10sm	אי יהבת דינר כוליה
11nl 2ds 120gp 10sm	אייתית לי "שוי שני דינרים"٠ הכי נמי מסתברא ٠٠٠
51nl 2ds 120gp x0sm	{{ומדלא שני גבי "קיטנית" נמי דיהב סלע שויא ליה טפי}} ^היכי דמי٠ אילימ׳ באתר׳ דמ٠٠٠ ٠٠٠ לימ׳ ליה אילו יהבת׳ סלע ٠٠٠ גבךּ^
61nl 2ds 120gp 10sm	בדוכתא דמזבין בכני٠
71nl 2ds 120gp 10sm	דהתם פסיקא מילתייהו٠
41nl 2ds 120gp 10sm	היכי דמי٠ אילימא באתרא דמזבני בשומא٠ לימא ליה٠
51nl 2ds 120gp 10sm	בסלע מזלי גבך٠ א׳ רב פפא٠
61nl 2ds 120gp x0sm	באתרא דמזבני בכני٠
71nl 2ds 120gp 10sm	דהתם פסיקא מילתייהו٠
92nl 2ds 120gp 10sm	כי אתא רב דימי א׳٠ רמי
03nl 2ds 120gp 10sm	ליה ריש לקיש לר׳ יוחנ׳٠ מאי שנא רישא ומאי שנא סיפא٠
33nl 2ds 120gp 10sm	"כיסין אשוורין" רמא ליה٠
60nl 1ds 220gp 10sm	סיפא דמתניתין٠
