אִי,A,אִי,,
עָלוּ,"('R', 'VB')","('עָלָה', 'VB')","('עָלָה', 'VB')","('עֹל', 'NN')"
מַהוּ,A,,,
שֶׁיֵּרְדוּ,"('R', 'VB')","('יָרַד', 'VB')","('שָׂרַד', 'VB')","('רָדָה', 'VB')"
רַבָּה,A,רַבָּה,,
אָמַר,"('R', 'VB')","('אָמַר', 'VB')","('הֵמַר', 'VB')",
אִם,"('R', 'CC')","('אִם', 'CC')","('אֵם', 'NN')",
עָלוּ,"('R', 'VB')","('עָלָה', 'VB')","('עָלָה', 'VB')","('עֹל', 'NN')"
יֵרְדוּ,"('R', 'VB')","('יָרַד', 'VB')","('רָדָה', 'VB')","('רָדָה', 'VB')"
רַב,A,רַב,,
יוֹסֵף,"('R', 'NNP')","('יוֹסֵף', 'A')","('יוֹסֵף', 'A')",
אָמַר,"('R', 'VB')","('אָמַר', 'VB')","('הֵמַר', 'VB')",
אִם,"('R', 'CC')","('אִם', 'CC')","('אֵם', 'NN')",
עָלוּ,"('R', 'VB')","('עָלָה', 'VB')","('עָלָה', 'VB')","('עֹל', 'NN')"
לֹא,"('R', 'RB')","('לֹא', 'RB')","('לֹא', 'Prefix')",
יֵרְדוּ,"('R', 'VB')","('יָרַד', 'VB')","('רָדָה', 'VB')","('רָדָה', 'VB')"
,,,,
אַלִּיבָּא,A,אַלִּבָּא,לִבָּא,
דְּרַבִּי,A,רַבִּי,,
יְהוּדָה,"('R', 'NNP')","('יְהוּדָה', 'A')","('יְהוּדָה', 'A')","('יְהוּדָה', 'A')"
לָא,A,לָא,,
תִּיבְּעֵי,A,תִּבְּעֵי,,
לָךְ,A,לָךְ,,
דְּכוּלֵּי,A,כֻּלֵּי,,
עָלְמָא,A,עָלְמָא,,
לָא,A,לָא,,
פְּלִיגִי,A,פְּלִיגִי,,
דְּאִם,A,אִם,,
עָלוּ,"('R', 'VB')","('עָלָה', 'VB')","('עָלָה', 'VB')","('עֹל', 'NN')"
יֵרְדוּ,"('R', 'VB')","('יָרַד', 'VB')","('רָדָה', 'VB')","('רָדָה', 'VB')"
כִּי,A,כִּי,,
פְּלִיגִי,A,פְּלִיגִי,,
אַלִּיבָּא,A,אַלִּבָּא,לִבָּא,
דְּרַבִּי,A,רַבִּי,,
שִׁמְעוֹן,"('R', 'NN')","('שִׁמְעוֹן', 'A')","('מָעוֹן', 'NN')",
,,,,
רַב,A,רַב,,
יוֹסֵף,"('R', 'VB')","('יוֹסֵף', 'A')","('יוֹסֵף', 'A')",
כְּרַבִּי,"('A', 'yyDOT')","('רַבִּי', 'NN')","('רַבִּים', 'שֵם ז""ר')","('רַב', 'NN')"
שִׁמְעוֹן,"('R', 'NN')","('שִׁמְעוֹן', 'A')","('מָעוֹן', 'NN')",
רַבָּה,A,רַבָּה,,
אָמַר,"('R', 'VB')","('אָמַר', 'VB')","('הֵמַר', 'VB')",
לָךְ,A,לָךְ,,
עַד,"('R', 'IN')","('עַד', 'IN')","('עַד', 'NN')","('עֵד', 'שֵם')"
כָּאן,R,,,
לָא,A,לָא,,
קָאָמַר,A,אָמַר,,
רַבִּי,"('R', 'NN')","('רַבִּי', 'NN')","('רַב', 'JJ')","('רַבִּים', 'שֵם ז""ר')"
שִׁמְעוֹן,"('R', 'NN')","('שִׁמְעוֹן', 'A')","('מָעוֹן', 'NN')",
אֶלָּא,A,אֶלָּא,,
בַּנִּיתָּנִין,R,,,
לְמַטָּה,"('R', 'NN')","('מַטֶּה', 'NN')","('מָט', 'VB')","('מִטָּה', 'NN')"
שֶׁנְּתָנָן,"('R', 'NNP')","('הִתְנָה', 'VB')","('תִּנָּה', 'VB')",
לְמַעְלָה,"('R', 'RB')","('הֶעֱלָה', 'VB')","('מַעֲלֶה', 'NN')","('מַעֲלָה', 'NN')"
